NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP
SZKOŁA PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH, UL. SZKOLNA, 63-522, KRASZEWICE,18.22403,51.51563, 0.1, 1009.1, 0.0,4.833333333333333,2.8, 2026-07-24 07:56:32
SZKOŁA PODSTAWOWA WE WRZĄSOWICACH, UL. SZKOLNA, 32-040, WRZĄSOWICE,19.94282,49.96103, 80.90833333333333, 976.0333333333333, 14.458333333333334,6.766666666666668,6.041666666666667, 2026-07-24 07:56:32
ZESPÓŁ SZKÓŁ NR 1 W PSZCZYNIE, UL. KAZIMIERZA WIELKIEGO, 43-200, PSZCZYNA,18.9457058,49.965883, 99.90000000000002, 999.1666666666666, 12.566666666666668,21.266666666666666,11.36, 2026-07-24 07:56:32
ZESPÓŁ SZKÓŁ IM. POWSTAŃCÓW WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM, SZKOLNA, 63-421, JANKÓW PRZYGODZKI,17.7889069,51.596172, 99.90000000000002, 992.4, 16.4,21.3,11.15, 2026-07-24 07:56:32
SZKOŁA PODSTAWOWA NR 7 IM. ŻOŁNIERZY WRZEŚNIA W ĆWIKLICACH, UL. MĘCZENNIKÓW OŚWIĘCIMSKICH, 43-229, ĆWIKLICE,18.989839,49.971937, 99.90000000000002, 985.4666666666667, 13.9,19.0,10.816666666666668, 2026-07-24 07:56:32
SZKOŁA PODSTAWOWA NR 12 W STUDZIONCE, UL. JORDANA, 43-245, STUDZIONKA,18.774985,49.9603559, 86.39999999999999, 991.9666666666667, 13.200000000000001,13.633333333333333,7.533333333333334, 2026-07-24 07:56:32
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W PIASKU, SZKOLNA, 43-211, PIASEK,18.94634,50.00955, 99.90000000000002, 994.2999999999998, 13.0,19.03333333333333,10.910000000000002, 2026-07-24 07:56:32
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁĄCE, FITELBERGA, 43-241, ŁĄKA,18.906757,49.9582444, 99.90000000000002, 990.6999999999999, 12.066666666666668,17.733333333333334,9.84, 2026-07-24 07:56:32
SZKOŁA PODSTAWOWA NR 3 W LUBONIU, ARMII POZNAŃ, 62-030, LUBOŃ,16.8968,52.3481, 99.90000000000002, 1000.0333333333333, 12.633333333333333,3.666666666666666,2.186666666666667, 2026-07-24 07:56:32
ZESPÓŁ SZKÓŁ PONADGIMNAZJALNYCH CENTRUM KSZTAŁCENIA USTAWICZNEGO W PRZYGODZICACH, PTR, 63-421, PRZYGODZICE,17.822685,51.59023, 77.63333333333333, 1007.3666666666667, 16.099999999999998,1.133333333333333,0.7000000000000001, 2026-07-24 07:56:32
