NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP
SZKOŁA PODSTAWOWA NR 5 IM. MARII KONOPNICKIEJ W CHEŁMIE, UL. I PUŁKU SZWOLEŻERÓW, 22-100, CHEŁM,23.481093,51.134591, 54.94166666666666, 987.2166666666667, 23.71666666666667,2.583333333333333,2.158333333333333, 2026-07-25 13:49:23
LICEUM OGÓLNOKSZTAŁCĄCE IM. KS. J. ST. PASIERBA W PELPLINIE, UL. SAMBORA, 83-130, PELPLIN,18.6979422,53.9283135, 48.925, 1002.225, 23.475,6.175,5.5875, 2026-07-25 13:49:23
TECHNIKUM W GŁOGÓWKU, UL. POWSTAŃCÓW, 48-250, GŁOGÓWEK,17.86435,50.35349, 34.93333333333333, 985.3083333333334, 24.825,2.883333333333333,2.408333333333333, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 2 IM. KS. STANISŁAWA STASZICA W CHEŁMIE, UL. OBŁOŃSKA, 22-100, CHEŁM,23.47575683,51.13815167, 52.33636363636364, 988.6, 24.427272727272726,3.518181818181818,3.036363636363636, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 8 IM. BOLESŁAWA ZYGMUNTA WIRSKIEGO W CHEŁMIE, UL. POŁANIECKA, 22-100, CHEŁM,23.477306,51.123224, 53.333333333333336, 986.8083333333334, 23.691666666666666,3.608333333333333,3.074999999999999, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 10 Z ODDZIAŁAMI INTEGRACYJNYMI IM. WALERIANA ŁUKASIŃSKIEGO W ZAMOŚCIU, UL. PEOWIAKÓW, 22-400, ZAMOŚĆ,23.25695961789249,50.72103172968299, 59.8111111111111, 984.9666666666667, 22.266666666666666,2.677777777777778,2.266666666666667, 2026-07-25 13:49:23
ZESPÓŁ SZKÓŁ GMINNYCH IM. HENRYKA SIENKIEWICZA W BOGUCICACH SZKOŁA PODSTAWOWA W BOGUCICACH, , 32-711, BOGUCICE,20.498337,50.057389, 35.93636363636364, 990.6, 26.945454545454538,1.345454545454545,1.154545454545454, 2026-07-25 13:49:23
PUBLICZNA SZKOŁA PODSTAWOWA W NIEDZIELISKACH, , 32-820, NIEDZIELISKA,20.632091271164818,50.09115399071606, 35.52727272727273, 988.8545454545455, 26.981818181818184,1.772727272727272,1.5818181818181811, 2026-07-25 13:49:23
TECHNIKUM W ZESPOLE SZKÓŁ AGROBIZNESU IM.MACIEJA RATAJA W KLEMENTOWICACH, , 24-170, KLEMENTOWICE,22.113069,51.362926, 40.449999999999996, 991.0583333333334, 24.825,1.991666666666666,1.541666666666666, 2026-07-25 13:49:23
PUBLICZNA SZKOŁA PODSTAWOWA IM. KAZIMIERZA RASŁAWSKIEGO W BORZECHOWIE , , 24-224, BORZECHÓW-KOLONIA,22.2853918,51.09246552, 42.9, 986.4, 23.566666666666666,1.666666666666666,1.425, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 117 IM. KRAKOWSKIEJ KONGREGACJI KUPIECKIEJ W KRAKOWIE, UL. JANA KURCZABA, 30-868, KRAKÓW-PODGÓRZE,20.00687205767037,50.01317838097981, 43.46666666666667, 986.0416666666666, 23.474999999999998,3.216666666666667,3.266666666666667, 2026-07-25 13:49:23
VI LICEUM OGÓLNOKSZTAŁCĄCE IM. HUGONA KOŁŁĄTAJA W LUBLINIE, UL. ADAMA MICKIEWICZA, 20-466, LUBLIN,22.577994,51.216809, 60.48333333333333, 990.1166666666667, 22.900000000000002,2.425,2.3, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA W ORLE, , 07-320, ORŁO,21.989508,52.732095, 45.68181818181818, 995.9090909090909, 24.872727272727275,2.536363636363636,2.254545454545454, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA IM. WINCENTEGO WITOSA W GROMNIKU, UL. WITOSA, 33-180, GROMNIK,20.959304,49.840276, 40.516666666666666, 981.1916666666667, 24.3,2.958333333333333,2.6, 2026-07-25 13:49:23
AKADEMIA NAJMŁODSZYCH KRZYSZTOF GOŁAŚ NIEPUBLICZNA SZKOŁA PODSTAWOWA W KADZIDLE, UL. BRZOZOWA, 07-420, KADZIDŁO,21.450353,53.231522, 47.824999999999996, 995.0083333333333, 24.483333333333334,3.35,2.9499999999999997, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA IM. ŚW. STANISŁAWA KOSTKI W AMELINIE, , 06-212, AMELIN,20.92818124,52.98166409, 39.541666666666664, 995.5833333333334, 27.691666666666666,4.041666666666667,3.558333333333333, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA SPECJALNA NR 44 IM. JANA BRZECHWY W KRAKOWIE, UL. ZAKĄTEK, 30-076, KRAKÓW,19.916426,50.076299, 42.24166666666667, 985.6999999999999, 23.925,3.008333333333333,2.5, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 1 IM. ŚW. JADWIGI KRÓLOWEJ W PODWILKU, , 34-722, PODWILK,19.7397286,49.547978, 35.56363636363636, 933.2, 23.663636363636364,1.718181818181818,1.636363636363636, 2026-07-25 13:49:23
LICEUM OGÓLNOKSZTAŁCĄCE KADETÓW RZECZYPOSPOLITEJ POLSKIEJ W LIPINACH, , 26-425, LIPINY,20.511418,51.54591, 43.15, 992.5749999999999, 26.366666666666664,6.25,5.774999999999999, 2026-07-25 13:49:23
